ano,mes,tipo_consumo,numero_consumidores,consumo,sigla,estado,regiao,pais,data,dataStr
2004,4,Outros,206099,103864.0,CE,Ceara,Nordeste,Brasil,2004-04-01,April/2004
2004,4,Outros,17449,35773.0,SE,Sergipe,Nordeste,Brasil,2004-04-01,April/2004
2004,4,Outros,59431,24884.0,RO,Rondonia,Norte,Brasil,2004-04-01,April/2004
2004,4,Outros,314687,960806.0,SP,Sao Paulo,Sudeste,Brasil,2004-04-01,April/2004
2004,4,Outros,29320,80899.0,PA,Para,Norte,Brasil,2004-04-01,April/2004
2004,4,Outros,368131,275676.0,PR,Parana,Sul,Brasil,2004-04-01,April/2004
2004,4,Outros,55132,49675.0,MA,Maranhao,Nordeste,Brasil,2004-04-01,April/2004
2004,4,Outros,10242,50202.0,AM,Amazonas,Norte,Brasil,2004-04-01,April/2004
2004,4,Outros,33298,32933.0,PI,Piaui,Nordeste,Brasil,2004-04-01,April/2004
2004,4,Outros,482934,351186.0,MG,Minas Gerais,Sudeste,Brasil,2004-04-01,April/2004
2004,4,Outros,141777,130291.0,GO,Goias,Centro-Oeste,Brasil,2004-04-01,April/2004
2004,4,Outros,64031,73039.0,MT,Mato Grosso,Centro-Oeste,Brasil,2004-04-01,April/2004
2004,4,Outros,16710,47473.0,AL,Alagoas,Nordeste,Brasil,2004-04-01,April/2004
2004,4,Outros,228104,205067.0,SC,Santa Catarina,Sul,Brasil,2004-04-01,April/2004
2004,4,Outros,22675,20738.0,TO,Tocantins,Norte,Brasil,2004-04-01,April/2004
2004,4,Outros,57186,71053.0,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,2004-04-01,April/2004
2004,4,Outros,10101,10355.0,AC,Acre,Norte,Brasil,2004-04-01,April/2004
2004,4,Outros,2270,11132.0,AP,Amapa,Norte,Brasil,2004-04-01,April/2004
2004,4,Outros,4887,9772.0,RR,Roraima,Norte,Brasil,2004-04-01,April/2004
2004,4,Outros,12124,81641.0,DF,Distrito Federal,Centro-Oeste,Brasil,2004-04-01,April/2004
2004,4,Outros,73258,49335.0,PB,Paraiba,Nordeste,Brasil,2004-04-01,April/2004
2004,4,Outros,71470,416288.0,RJ,Rio de Janeiro,Sudeste,Brasil,2004-04-01,April/2004
2004,4,Outros,151308,134958.0,PE,Pernambuco,Nordeste,Brasil,2004-04-01,April/2004
2004,4,Outros,122816,73724.0,ES,Espirito Santo,Sudeste,Brasil,2004-04-01,April/2004
2004,4,Outros,41014,60882.0,RN,Rio Grande do Norte,Nordeste,Brasil,2004-04-01,April/2004
2004,5,Outros,484897,371149.0,MG,Minas Gerais,Sudeste,Brasil,2004-05-01,May/2004
2004,5,Outros,10461,49832.0,AM,Amazonas,Norte,Brasil,2004-05-01,May/2004
2004,5,Outros,33390,32651.0,PI,Piaui,Nordeste,Brasil,2004-05-01,May/2004
2004,5,Outros,228316,202066.0,SC,Santa Catarina,Sul,Brasil,2004-05-01,May/2004
2004,5,Outros,41175,60099.0,RN,Rio Grande do Norte,Nordeste,Brasil,2004-05-01,May/2004
2004,5,Outros,55326,51359.0,MA,Maranhao,Nordeste,Brasil,2004-05-01,May/2004
2004,5,Outros,2312,11214.0,AP,Amapa,Norte,Brasil,2004-05-01,May/2004
2004,5,Outros,314299,305855.0,RS,Rio Grande do Sul,Sul,Brasil,2004-05-01,May/2004
2004,5,Outros,10122,6205.0,AC,Acre,Norte,Brasil,2004-05-01,May/2004
2004,5,Outros,206944,102572.0,CE,Ceara,Nordeste,Brasil,2004-05-01,May/2004
2004,5,Outros,16787,42892.0,AL,Alagoas,Nordeste,Brasil,2004-05-01,May/2004
2004,5,Outros,123026,74701.0,ES,Espirito Santo,Sudeste,Brasil,2004-05-01,May/2004
2004,5,Outros,23062,21963.0,TO,Tocantins,Norte,Brasil,2004-05-01,May/2004
2004,5,Outros,64381,71153.0,MT,Mato Grosso,Centro-Oeste,Brasil,2004-05-01,May/2004
2004,5,Outros,4955,8434.0,RR,Roraima,Norte,Brasil,2004-05-01,May/2004
2004,5,Outros,17535,33278.0,SE,Sergipe,Nordeste,Brasil,2004-05-01,May/2004
2004,5,Outros,151277,134195.0,PE,Pernambuco,Nordeste,Brasil,2004-05-01,May/2004
2004,5,Outros,57354,70923.0,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,2004-05-01,May/2004
2004,5,Outros,215191,215627.0,BA,Bahia,Nordeste,Brasil,2004-05-01,May/2004
2004,5,Outros,142193,142863.0,GO,Goias,Centro-Oeste,Brasil,2004-05-01,May/2004
2004,5,Outros,12149,77278.0,DF,Distrito Federal,Centro-Oeste,Brasil,2004-05-01,May/2004
2004,5,Outros,313490,914846.0,SP,Sao Paulo,Sudeste,Brasil,2004-05-01,May/2004
2004,5,Outros,74039,47532.0,PB,Paraiba,Nordeste,Brasil,2004-05-01,May/2004
2004,5,Outros,27700,76277.0,PA,Para,Norte,Brasil,2004-05-01,May/2004
2004,5,Outros,70632,406271.0,RJ,Rio de Janeiro,Sudeste,Brasil,2004-05-01,May/2004
2004,5,Outros,367221,271442.0,PR,Parana,Sul,Brasil,2004-05-01,May/2004
2004,5,Outros,60757,26045.0,RO,Rondonia,Norte,Brasil,2004-05-01,May/2004
2004,6,Outros,57561,59841.0,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,2004-06-01,June/2004
2004,6,Outros,61322,25584.0,RO,Rondonia,Norte,Brasil,2004-06-01,June/2004
2004,6,Outros,215832,218538.0,BA,Bahia,Nordeste,Brasil,2004-06-01,June/2004
2004,6,Outros,5080,8857.0,RR,Roraima,Norte,Brasil,2004-06-01,June/2004
2004,6,Outros,41284,59912.0,RN,Rio Grande do Norte,Nordeste,Brasil,2004-06-01,June/2004
2004,6,Outros,16912,43342.0,AL,Alagoas,Nordeste,Brasil,2004-06-01,June/2004
2004,6,Outros,2334,12123.0,AP,Amapa,Norte,Brasil,2004-06-01,June/2004
2004,6,Outros,10142,9480.0,AC,Acre,Norte,Brasil,2004-06-01,June/2004
2004,6,Outros,315276,281187.0,RS,Rio Grande do Sul,Sul,Brasil,2004-06-01,June/2004
2004,6,Outros,142771,164867.0,GO,Goias,Centro-Oeste,Brasil,2004-06-01,June/2004
2004,6,Outros,207620,104000.0,CE,Ceara,Nordeste,Brasil,2004-06-01,June/2004
2004,6,Outros,123397,77673.0,ES,Espirito Santo,Sudeste,Brasil,2004-06-01,June/2004
2004,6,Outros,23292,22823.0,TO,Tocantins,Norte,Brasil,2004-06-01,June/2004
2004,6,Outros,151354,135294.0,PE,Pernambuco,Nordeste,Brasil,2004-06-01,June/2004
2004,6,Outros,17642,32849.0,SE,Sergipe,Nordeste,Brasil,2004-06-01,June/2004
2004,6,Outros,33570,33616.0,PI,Piaui,Nordeste,Brasil,2004-06-01,June/2004
2004,6,Outros,315997,935258.0,SP,Sao Paulo,Sudeste,Brasil,2004-06-01,June/2004
2004,6,Outros,12225,78253.0,DF,Distrito Federal,Centro-Oeste,Brasil,2004-06-01,June/2004
2004,6,Outros,28026,79108.0,PA,Para,Norte,Brasil,2004-06-01,June/2004
2004,6,Outros,56262,52748.0,MA,Maranhao,Nordeste,Brasil,2004-06-01,June/2004
2004,6,Outros,75363,47676.0,PB,Paraiba,Nordeste,Brasil,2004-06-01,June/2004
2004,6,Outros,369610,254009.0,PR,Parana,Sul,Brasil,2004-06-01,June/2004
2004,6,Outros,64791,396285.0,RJ,Rio de Janeiro,Sudeste,Brasil,2004-06-01,June/2004
2004,6,Outros,487234,394722.0,MG,Minas Gerais,Sudeste,Brasil,2004-06-01,June/2004
2004,6,Outros,228926,193767.0,SC,Santa Catarina,Sul,Brasil,2004-06-01,June/2004
2004,6,Outros,64746,71969.0,MT,Mato Grosso,Centro-Oeste,Brasil,2004-06-01,June/2004
2004,6,Outros,10485,50444.0,AM,Amazonas,Norte,Brasil,2004-06-01,June/2004
2004,7,Outros,5095,7927.0,RR,Roraima,Norte,Brasil,2004-07-01,July/2004
2004,7,Outros,65336,407037.0,RJ,Rio de Janeiro,Sudeste,Brasil,2004-07-01,July/2004
2004,7,Outros,216365,216813.0,BA,Bahia,Nordeste,Brasil,2004-07-01,July/2004
2004,7,Outros,33693,32652.0,PI,Piaui,Nordeste,Brasil,2004-07-01,July/2004
2004,7,Outros,23592,23742.0,TO,Tocantins,Norte,Brasil,2004-07-01,July/2004
2004,7,Outros,61585,25304.0,RO,Rondonia,Norte,Brasil,2004-07-01,July/2004
2004,7,Outros,57018,52654.0,MA,Maranhao,Nordeste,Brasil,2004-07-01,July/2004
2004,7,Outros,12238,77231.0,DF,Distrito Federal,Centro-Oeste,Brasil,2004-07-01,July/2004
2004,7,Outros,229144,194001.0,SC,Santa Catarina,Sul,Brasil,2004-07-01,July/2004
2004,7,Outros,151864,130737.0,PE,Pernambuco,Nordeste,Brasil,2004-07-01,July/2004
2004,7,Outros,315788,933151.0,SP,Sao Paulo,Sudeste,Brasil,2004-07-01,July/2004
2004,7,Outros,16991,39974.0,AL,Alagoas,Nordeste,Brasil,2004-07-01,July/2004
2004,7,Outros,2351,10534.0,AP,Amapa,Norte,Brasil,2004-07-01,July/2004
2004,7,Outros,17729,31376.0,SE,Sergipe,Nordeste,Brasil,2004-07-01,July/2004
2004,7,Outros,316239,278731.0,RS,Rio Grande do Sul,Sul,Brasil,2004-07-01,July/2004
2004,7,Outros,57689,61740.0,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,2004-07-01,July/2004
2004,7,Outros,75904,45347.0,PB,Paraiba,Nordeste,Brasil,2004-07-01,July/2004
2004,7,Outros,64950,79701.0,MT,Mato Grosso,Centro-Oeste,Brasil,2004-07-01,July/2004
2004,7,Outros,41443,57226.0,RN,Rio Grande do Norte,Nordeste,Brasil,2004-07-01,July/2004
2004,7,Outros,209049,103537.0,CE,Ceara,Nordeste,Brasil,2004-07-01,July/2004
2004,7,Outros,489845,407060.0,MG,Minas Gerais,Sudeste,Brasil,2004-07-01,July/2004
2004,7,Outros,28292,78027.0,PA,Para,Norte,Brasil,2004-07-01,July/2004
2004,7,Outros,123671,75447.0,ES,Espirito Santo,Sudeste,Brasil,2004-07-01,July/2004
2004,7,Outros,143525,176441.0,GO,Goias,Centro-Oeste,Brasil,2004-07-01,July/2004
2004,7,Outros,10571,50497.0,AM,Amazonas,Norte,Brasil,2004-07-01,July/2004
2004,7,Outros,10272,9813.0,AC,Acre,Norte,Brasil,2004-07-01,July/2004
2004,7,Outros,370057,252785.0,PR,Parana,Sul,Brasil,2004-07-01,July/2004
2004,8,Outros,492181,413210.0,MG,Minas Gerais,Sudeste,Brasil,2004-08-01,August/2004
2004,8,Outros,76015,46073.0,PB,Paraiba,Nordeste,Brasil,2004-08-01,August/2004
2004,8,Outros,217059,210820.0,BA,Bahia,Nordeste,Brasil,2004-08-01,August/2004
2004,8,Outros,57878,63030.0,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,2004-08-01,August/2004
2004,8,Outros,5147,9176.0,RR,Roraima,Norte,Brasil,2004-08-01,August/2004
2004,8,Outros,317214,265760.0,RS,Rio Grande do Sul,Sul,Brasil,2004-08-01,August/2004
2004,8,Outros,65306,81159.0,MT,Mato Grosso,Centro-Oeste,Brasil,2004-08-01,August/2004
2004,8,Outros,10353,10188.0,AC,Acre,Norte,Brasil,2004-08-01,August/2004
2004,8,Outros,17827,31320.0,SE,Sergipe,Nordeste,Brasil,2004-08-01,August/2004
2004,8,Outros,11143,50963.0,AM,Amazonas,Norte,Brasil,2004-08-01,August/2004
2004,8,Outros,370681,256757.0,PR,Parana,Sul,Brasil,2004-08-01,August/2004
2004,8,Outros,144078,184491.0,GO,Goias,Centro-Oeste,Brasil,2004-08-01,August/2004
2004,8,Outros,57833,54200.0,MA,Maranhao,Nordeste,Brasil,2004-08-01,August/2004
2004,8,Outros,2348,11866.0,AP,Amapa,Norte,Brasil,2004-08-01,August/2004
2004,8,Outros,16994,40190.0,AL,Alagoas,Nordeste,Brasil,2004-08-01,August/2004
2004,8,Outros,319152,937345.0,SP,Sao Paulo,Sudeste,Brasil,2004-08-01,August/2004
2004,8,Outros,65746,408795.0,RJ,Rio de Janeiro,Sudeste,Brasil,2004-08-01,August/2004
2004,8,Outros,23853,25266.0,TO,Tocantins,Norte,Brasil,2004-08-01,August/2004
2004,8,Outros,152093,134450.0,PE,Pernambuco,Nordeste,Brasil,2004-08-01,August/2004
2004,8,Outros,229365,191497.0,SC,Santa Catarina,Sul,Brasil,2004-08-01,August/2004
2004,8,Outros,30440,79107.0,PA,Para,Norte,Brasil,2004-08-01,August/2004
2004,8,Outros,33941,34259.0,PI,Piaui,Nordeste,Brasil,2004-08-01,August/2004
2004,8,Outros,61466,26432.0,RO,Rondonia,Norte,Brasil,2004-08-01,August/2004
2004,8,Outros,41727,62556.0,RN,Rio Grande do Norte,Nordeste,Brasil,2004-08-01,August/2004
2004,8,Outros,210576,112461.0,CE,Ceara,Nordeste,Brasil,2004-08-01,August/2004
2004,8,Outros,124097,74052.0,ES,Espirito Santo,Sudeste,Brasil,2004-08-01,August/2004
2004,8,Outros,12347,77340.0,DF,Distrito Federal,Centro-Oeste,Brasil,2004-08-01,August/2004
2004,9,Outros,42081,65764.0,RN,Rio Grande do Norte,Nordeste,Brasil,2004-09-01,September/2004
2004,9,Outros,66336,425324.0,RJ,Rio de Janeiro,Sudeste,Brasil,2004-09-01,September/2004
2004,9,Outros,65582,85205.0,MT,Mato Grosso,Centro-Oeste,Brasil,2004-09-01,September/2004
2004,9,Outros,62274,26958.0,RO,Rondonia,Norte,Brasil,2004-09-01,September/2004
2004,9,Outros,218374,218335.0,BA,Bahia,Nordeste,Brasil,2004-09-01,September/2004
2004,9,Outros,319994,931372.0,SP,Sao Paulo,Sudeste,Brasil,2004-09-01,September/2004
2004,9,Outros,11229,53701.0,AM,Amazonas,Norte,Brasil,2004-09-01,September/2004
2004,9,Outros,23720,25153.0,TO,Tocantins,Norte,Brasil,2004-09-01,September/2004
2004,9,Outros,10356,10278.0,AC,Acre,Norte,Brasil,2004-09-01,September/2004
2004,9,Outros,17036,42662.0,AL,Alagoas,Nordeste,Brasil,2004-09-01,September/2004
2004,9,Outros,5117,8220.0,RR,Roraima,Norte,Brasil,2004-09-01,September/2004
2004,9,Outros,34082,37786.0,PI,Piaui,Nordeste,Brasil,2004-09-01,September/2004
2004,9,Outros,144388,195246.0,GO,Goias,Centro-Oeste,Brasil,2004-09-01,September/2004
2004,9,Outros,494302,446181.0,MG,Minas Gerais,Sudeste,Brasil,2004-09-01,September/2004
2004,9,Outros,58377,70049.0,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,2004-09-01,September/2004
2004,9,Outros,28813,78248.0,PA,Para,Norte,Brasil,2004-09-01,September/2004
2004,9,Outros,212509,126805.0,CE,Ceara,Nordeste,Brasil,2004-09-01,September/2004
2004,9,Outros,58239,56076.0,MA,Maranhao,Nordeste,Brasil,2004-09-01,September/2004
2004,9,Outros,317725,279103.0,RS,Rio Grande do Sul,Sul,Brasil,2004-09-01,September/2004
2004,9,Outros,12360,84909.0,DF,Distrito Federal,Centro-Oeste,Brasil,2004-09-01,September/2004
2004,9,Outros,17618,32512.0,SE,Sergipe,Nordeste,Brasil,2004-09-01,September/2004
2004,9,Outros,124702,87645.0,ES,Espirito Santo,Sudeste,Brasil,2004-09-01,September/2004
2004,9,Outros,152008,135307.0,PE,Pernambuco,Nordeste,Brasil,2004-09-01,September/2004
2004,9,Outros,78427,51342.0,PB,Paraiba,Nordeste,Brasil,2004-09-01,September/2004
2004,9,Outros,229910,195674.0,SC,Santa Catarina,Sul,Brasil,2004-09-01,September/2004
2004,9,Outros,371614,263927.0,PR,Parana,Sul,Brasil,2004-09-01,September/2004
2004,9,Outros,2357,12134.0,AP,Amapa,Norte,Brasil,2004-09-01,September/2004
2004,10,Outros,371994,263592.0,PR,Parana,Sul,Brasil,2004-10-01,October/2004
2004,10,Outros,5076,8876.0,RR,Roraima,Norte,Brasil,2004-10-01,October/2004
2004,10,Outros,230384,195434.0,SC,Santa Catarina,Sul,Brasil,2004-10-01,October/2004
2004,10,Outros,155151,146434.0,PE,Pernambuco,Nordeste,Brasil,2004-10-01,October/2004
2004,10,Outros,496026,457290.0,MG,Minas Gerais,Sudeste,Brasil,2004-10-01,October/2004
2004,10,Outros,321640,1075936.0,SP,Sao Paulo,Sudeste,Brasil,2004-10-01,October/2004
2004,10,Outros,318971,275026.0,RS,Rio Grande do Sul,Sul,Brasil,2004-10-01,October/2004
2004,10,Outros,12362,84659.0,DF,Distrito Federal,Centro-Oeste,Brasil,2004-10-01,October/2004
2004,10,Outros,144948,188935.0,GO,Goias,Centro-Oeste,Brasil,2004-10-01,October/2004
2004,10,Outros,16942,46132.0,AL,Alagoas,Nordeste,Brasil,2004-10-01,October/2004
2004,10,Outros,66724,431717.0,RJ,Rio de Janeiro,Sudeste,Brasil,2004-10-01,October/2004
2004,10,Outros,34243,37405.0,PI,Piaui,Nordeste,Brasil,2004-10-01,October/2004
2004,10,Outros,42395,72597.0,RN,Rio Grande do Norte,Nordeste,Brasil,2004-10-01,October/2004
2004,10,Outros,219404,227725.0,BA,Bahia,Nordeste,Brasil,2004-10-01,October/2004
2004,10,Outros,79247,52876.0,PB,Paraiba,Nordeste,Brasil,2004-10-01,October/2004
2004,10,Outros,62632,28295.0,RO,Rondonia,Norte,Brasil,2004-10-01,October/2004
2004,10,Outros,11525,55830.0,AM,Amazonas,Norte,Brasil,2004-10-01,October/2004
2004,10,Outros,58976,67805.0,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,2004-10-01,October/2004
2004,10,Outros,214406,126936.0,CE,Ceara,Nordeste,Brasil,2004-10-01,October/2004
2004,10,Outros,28986,79914.0,PA,Para,Norte,Brasil,2004-10-01,October/2004
2004,10,Outros,58292,54554.0,MA,Maranhao,Nordeste,Brasil,2004-10-01,October/2004
2004,10,Outros,10425,10180.0,AC,Acre,Norte,Brasil,2004-10-01,October/2004
2004,10,Outros,2359,12550.0,AP,Amapa,Norte,Brasil,2004-10-01,October/2004
2004,10,Outros,23928,23057.0,TO,Tocantins,Norte,Brasil,2004-10-01,October/2004
2004,10,Outros,65873,80108.0,MT,Mato Grosso,Centro-Oeste,Brasil,2004-10-01,October/2004
2004,10,Outros,125280,88949.0,ES,Espirito Santo,Sudeste,Brasil,2004-10-01,October/2004
2004,10,Outros,17728,34061.0,SE,Sergipe,Nordeste,Brasil,2004-10-01,October/2004
2004,11,Outros,10854,10548.0,AC,Acre,Norte,Brasil,2004-11-01,November/2004
2004,11,Outros,67634,426830.0,RJ,Rio de Janeiro,Sudeste,Brasil,2004-11-01,November/2004
2004,11,Outros,12374,81203.0,DF,Distrito Federal,Centro-Oeste,Brasil,2004-11-01,November/2004
2004,11,Outros,24030,21559.0,TO,Tocantins,Norte,Brasil,2004-11-01,November/2004
2004,11,Outros,319865,290064.0,RS,Rio Grande do Sul,Sul,Brasil,2004-11-01,November/2004
2004,11,Outros,372523,264979.0,PR,Parana,Sul,Brasil,2004-11-01,November/2004
2004,11,Outros,34478,38071.0,PI,Piaui,Nordeste,Brasil,2004-11-01,November/2004
2004,11,Outros,5103,9564.0,RR,Roraima,Norte,Brasil,2004-11-01,November/2004
2004,11,Outros,11568,51006.0,AM,Amazonas,Norte,Brasil,2004-11-01,November/2004
2004,11,Outros,497495,427309.0,MG,Minas Gerais,Sudeste,Brasil,2004-11-01,November/2004
